Date,AAPL,MSFT,SPY,TLT,GLD
2019-01-02,157.198129,106.608215,250.713538,119.923041,123.642152
2019-01-03,158.634403,107.612132,250.810955,119.586038,124.520356
2019-01-04,157.251771,108.64154,251.397579,120.670462,125.098676
2019-01-07,160.935867,108.074076,254.238387,120.419144,126.911621
2019-01-08,157.566919,105.980744,248.083943,121.628673,125.292952
2019-01-09,153.736299,104.654571,246.151364,121.261427,125.265344
2019-01-10,152.428212,106.812995,245.888065,120.925534,126.409706
2019-01-11,153.955537,105.665709,244.787673,120.054927,126.110904
2019-01-14,150.735952,104.476705,244.353458,119.770079,127.061235
2019-01-15,152.097681,105.4223,246.333442,119.749129,127.588126
2019-01-16,154.692378,106.290552,247.598174,119.236168,126.612402
2019-01-17,151.691124,103.650616,244.114435,120.018217,127.766487
2019-01-18,152.978758,104.175644,246.80061,119.753882,127.158434
2019-01-21,150.122147,102.48512,240.95027,119.732814,125.362713
2019-01-22,155.103824,104.42108,245.420136,119.025776,125.337114
2019-01-23,156.67818,101.943802,242.76486,117.709583,124.032939
2019-01-24,158.278712,103.605365,244.859985,117.851183,125.768428
2019-01-25,157.178797,104.558185,244.639646,116.589605,126.344268
2019-01-28,155.717911,102.158112,241.244743,117.005869,125.323613
2019-01-29,155.217642,102.864588,241.744612,116.527073,125.559367
2019-01-30,150.570503,100.676068,238.263764,116.909945,125.537835
2019-01-31,153.216941,102.810801,242.832816,116.23933,125.362651
2019-02-01,151.846685,102.191765,242.899675,114.729525,123.761929
2019-02-04,154.015895,102.246917,242.751922,114.218878,122.640535
2019-02-05,158.194341,104.496905,245.094795,114.483385,122.456675
2019-02-06,156.739467,104.146228,244.865053,114.160719,123.60533
2019-02-07,159.040091,105.306402,247.142978,114.428384,124.537139
2019-02-08,156.384031,105.670773,243.251083,113.53171,122.315524
2019-02-11,157.334841,105.987536,242.487671,112.898498,119.635235
2019-02-12,155.425859,105.159595,241.268202,111.322164,119.984275
2019-02-13,154.552367,105.978573,243.67393,111.753385,120.031802
2019-02-14,154.533796,106.598232,244.778387,113.082577,121.091368
2019-02-15,156.672753,106.786197,245.008341,113.963099,121.951552
2019-02-18,155.603707,106.768231,245.824755,113.83678,123.919199
2019-02-19,151.027926,104.222484,244.00794,114.303086,124.485111
2019-02-20,152.646003,106.504086,245.700017,114.058322,125.227331
2019-02-21,153.871357,106.030951,244.642232,114.257658,124.820531
2019-02-22,158.929093,109.500254,250.721635,114.387892,123.517755
2019-02-25,163.342382,110.412957,254.330578,115.170108,124.719469
2019-02-26,165.477787,109.951821,255.41889,115.323802,125.4982
2019-02-27,163.340091,109.048679,253.7969,114.827593,125.46078
2019-02-28,162.052175,107.64872,252.002863,116.119954,125.633815
2019-03-01,164.62902,107.031738,252.037934,117.6657,127.687213
2019-03-04,166.972044,108.427628,252.975283,117.170742,125.357093
2019-03-05,169.202135,108.736905,253.408087,116.690707,126.47194
2019-03-06,167.084394,108.521788,253.600867,116.420759,124.762359
2019-03-07,167.391591,107.52852,249.197021,117.607245,126.00191
2019-03-08,168.989416,107.695511,246.024383,119.338897,127.103534
2019-03-11,170.31667,109.228386,246.795607,119.554329,128.667187
2019-03-12,165.77273,109.200878,242.030232,120.095312,128.863131
2019-03-13,160.396946,106.980798,237.927669,119.392997,126.826512
2019-03-14,159.818136,108.224973,238.017118,119.699491,128.31539
2019-03-15,161.22711,108.194436,241.767304,119.021971,129.846125
2019-03-18,159.731883,109.227877,240.70786,118.436157,131.342283
2019-03-19,161.948257,109.373891,244.057317,119.143506,131.697337
2019-03-20,165.608718,109.286023,247.675469,119.434009,131.808458
2019-03-21,161.612735,108.868485,245.252369,119.764825,133.810245
2019-03-22,160.468047,108.210523,243.096305,120.012638,136.270093
2019-03-25,162.752347,109.171218,243.005922,120.781392,136.268219
2019-03-26,155.458297,104.120047,240.347889,119.69552,134.901946
2019-03-27,153.948635,102.011762,239.259353,120.040551,134.903065
2019-03-28,157.406442,102.171685,240.655079,120.630573,135.48302
2019-03-29,156.15485,101.856683,237.453216,119.543863,135.288001
2019-04-01,158.236772,102.939993,238.401389,118.501445,136.357049
2019-04-02,155.352403,101.641838,235.859273,118.690726,139.151895
2019-04-03,153.355017,100.555628,235.576562,118.962756,139.943148
2019-04-04,149.401019,96.008139,232.325521,120.398628,140.37349
2019-04-05,150.841179,98.203648,234.01933,120.934302,140.23021
2019-04-08,147.84171,96.001465,229.938762,122.082832,139.4371
2019-04-09,145.697085,94.591351,230.140828,121.974496,141.152684
2019-04-10,142.03082,91.803552,227.70691,121.5897,141.67921
2019-04-11,142.418155,93.079292,225.938094,119.930743,140.829898
2019-04-12,142.83344,95.879706,229.535843,119.487869,140.256113
2019-04-15,141.682568,94.097668,228.764274,120.060704,140.801083
2019-04-16,143.879644,94.660719,229.652821,120.268029,142.918948
2019-04-17,146.811246,95.798081,231.432957,119.967459,143.244838
2019-04-18,142.244775,94.830162,227.988539,120.101513,141.557319
2019-04-19,140.977375,93.456232,226.113364,120.723774,142.826836
2019-04-22,138.063091,91.394877,221.63024,121.590489,143.677238
2019-04-23,135.128971,90.03734,221.079737,123.504752,145.728162
